month,total_hours,power_gen_hours,efficiency,active_turbines
2025-01,194667.34999999998,19935.25,10.240674668864605,74
2025-02,10081.61,7557.790000000001,74.96610164447941,17
2025-03,26527.739999999998,4644.089999999999,17.50654220826953,24
2025-04,10060.790000000003,0.0,0.0,20
2025-05,30627.699999999997,18221.31,59.49291001283154,63
2025-06,50070.08,36107.020000000004,72.11296646620097,74
2025-07,60644.84,27393.510000000002,45.17038877503841,74
2025-08,50198.57000000001,27546.78,54.87562693518958,74
2025-09,53179.200000000004,30887.549999999996,58.0820132683455,74
2025-10,61743.27,19462.66,31.52191323847927,74
2025-11,41632.95,31820.59,76.43126417897363,69
2025-12,88.18,45.14999999999999,51.20208664096165,10
