season,total_hours,power_gen_hours,efficiency
Spring,67216.23,22865.4,34.01767698069351
Summer,160913.49000000002,91047.31,56.58152712988823
Autumn,156555.41999999998,82170.79999999999,52.486716844424805
Winter,204837.13999999998,27538.190000000002,13.44394380823712
