turbine_id,total_hours,state_5_hours,state_5_percentage,state_9_hours,state_9_percentage,state_2_hours,state_2_percentage,state_3_hours,state_3_percentage,state_4_hours,state_4_percentage,state_1_hours,state_1_percentage,state_0_hours,state_0_percentage
1,8039.0,4074.01,50.67806941161837,2280.3700000000003,28.366339096902603,1093.28,13.599701455404901,491.68999999999994,6.116307998507276,79.94,0.9944022888418956,19.689999999999998,0.24493096156238334,0.02,0.00024878716258241074
2,8038.45,1768.89,22.005361730184305,5517.12,68.63412722601994,500.5,6.226324726781905,175.8,2.186988785151366,65.42999999999999,0.8139628908558242,10.09,0.12552171127518363,0.6200000000000001,0.007712929731478085
3,8038.77,2960.1899999999996,36.82391709179389,4023.54,50.05168701181897,672.9399999999999,8.371181163287417,293.87,3.6556587637163394,75.34,0.937208055461221,12.83,0.15960153108000352,0.06,0.0007463828421512246
4,8039.42,2663.49,33.130375076809024,4471.0,55.613464652922715,610.16,7.5896022349871,231.77,2.8829194145846344,52.969999999999985,0.6588783767983261,9.65,0.12003353475748252,0.38,0.004726709140709156
5,8038.0199999999995,2744.9800000000005,34.14995235144974,4328.7699999999995,53.85368536032505,557.13,6.931184545447761,278.77,3.4681426520461507,110.43999999999998,1.3739702065931658,17.8,0.22144757042157148,0.13,0.001617313716562039
6,8038.49,3375.3500000000004,41.98985132779913,2782.81,34.61856642230071,1416.7599999999998,17.624703146984068,319.03999999999996,3.968904607706173,123.50999999999999,1.5364825980998917,20.590000000000003,0.2561426337533542,0.43000000000000005,0.005349263356675197
7,8039.26,2551.0099999999998,31.73190069732786,4164.12,51.79730472705199,1040.8600000000001,12.94721155927287,210.1,2.613424618683809,62.50999999999999,0.7775591285765107,10.57,0.13147976306276946,0.09,0.0011195060241863057
8,8039.079999999999,4553.75,56.64516337690383,1669.53,20.76767490807406,1218.2799999999997,15.154470412037197,488.14,6.072087850848605,91.88999999999999,1.1430412435253785,17.47,0.2173134239241306,0.02,0.0002487846868049578
9,8039.429999999999,1382.6499999999999,17.19835859009905,5159.48,64.17718669109625,1269.84,15.795149656132338,174.60999999999999,2.1719201485677466,44.959999999999994,0.5592436279686495,7.829999999999999,0.09739496456838358,0.06,0.0007463215675738205
10,8038.62,3031.6600000000003,37.71368717516191,4214.99,52.43424866457178,344.15000000000003,4.281207470934066,330.94,4.116875782161615,100.24999999999999,1.24710460253128,16.61,0.20662750571615526,0.02,0.0002487989231982604
11,8038.250000000001,2478.94,30.839299598793268,4044.7299999999996,50.31853948309644,1037.1999999999998,12.903306067863026,340.66999999999996,4.2381115292507685,118.24999999999997,1.4710913445090654,18.36,0.22840792461045623,0.1,0.0012440518769632693
12,8032.01,2586.9700000000003,32.20825173275432,725.66,9.034600305527507,4309.6,53.65531168412391,360.54999999999995,4.488913733922143,40.8,0.5079674950603895,8.43,0.10495504861174226,0.0,0.0
13,8038.189999999999,2545.98,31.673548398333462,4569.23,56.84401587919668,464.7200000000001,5.781401036800575,303.03999999999996,3.7700029484249566,133.73,1.6636829933106834,21.129999999999995,0.2628701237467639,0.36000000000000004,0.004478620186882869
14,8038.92,2659.02,33.07683121613351,3484.88,43.35010175496211,1485.8900000000003,18.48370179078782,291.55,3.626730953909232,101.16999999999999,1.258502385892632,16.41,0.204131898314699,0.0,0.0
15,6646.830000000001,2216.3500000000004,33.34446645995159,3487.21,52.4642573978874,496.46,7.469124379591473,314.59,4.732932841670389,114.45999999999998,1.722023882061072,17.499999999999996,0.2632833997559738,0.25999999999999995,0.003911639082088754
16,8038.469999999999,2801.88,34.85588675456897,3975.7799999999997,49.45941205229353,793.2700000000001,9.8684202341988,335.52,4.173928620744992,113.68999999999998,1.414323870089706,18.29,0.22753086097229946,0.04,0.0004976071317054116
17,8038.1799999999985,1685.9699999999998,20.974524083810017,5210.5199999999995,64.82213635424935,861.4399999999999,10.716853815167116,170.07,2.115777452109806,95.22,1.1845965131410345,14.589999999999998,0.18150874949304446,0.37000000000000005,0.004603032029638552
18,8038.359999999999,2792.9799999999996,34.74564463398006,4507.75,56.07798108071796,357.28,4.44468772237123,261.65,3.255017192561667,92.74,1.1537179225613186,15.78,0.19630869978453316,10.180000000000001,0.12664274802322864
19,7020.65,171.29000000000002,2.4398025823819736,4917.48,70.0430871785376,1893.06,26.964169984260717,30.129999999999995,0.42916254192987824,6.999999999999999,0.09970586769031356,1.44,0.020510921353435935,0.25,0.0035609238460826277
20,6974.97,1653.4,23.70476145417113,4801.4,68.83757206124184,186.54,2.6744201050327097,282.96999999999997,4.056935011906861,42.86,0.6144829296756832,7.699999999999999,0.11039474004906112,0.1,0.0014336979227150797
21,8039.04,3141.25,39.074939296234376,3975.54,49.452919751612136,468.78,5.831293288750896,369.27,4.593458920468115,71.42,0.8884145370591514,12.64,0.15723270440251574,0.14,0.0017415014728126743
22,8038.160000000001,2976.34,37.02762821342198,3797.63,47.24501627238074,844.97,10.511982841844402,289.09999999999997,3.5965942454492064,111.83999999999997,1.391363197547697,18.16,0.22592235038864616,0.12000000000000001,0.0014928789673258557
23,7987.779999999999,789.66,9.885850636847787,4867.9,60.94183865855094,2204.42,27.59740503619279,61.46999999999999,0.7695504883709867,55.53999999999999,0.6953120892162779,8.46,0.10591178024432324,0.33,0.004131310576906225
24,8038.780000000001,2904.92,36.13632914447217,4219.28,52.486571345403156,513.97,6.393631869512538,282.97999999999996,3.5201858988552983,100.77,1.253548424014589,16.81,0.20911133281418323,0.05,0.0006219849280612233
25,8039.6,4264.55,53.04430568685009,1148.0,14.279317378974078,2514.6000000000004,31.277675506244094,73.55,0.9148465097766058,33.11,0.4118364097716304,5.750000000000001,0.07152097119259665,0.04,0.0004975371909050201
26,8039.23,2890.51,35.95506037269739,3548.3399999999997,44.137809218047,1224.25,15.228448495689264,284.37,3.5372790677714163,77.83,0.9681275445533963,13.77,0.1712850608826965,0.16000000000000003,0.001990240358840337
27,8039.220000000001,2587.1099999999997,32.181107122332754,4465.57,55.54730434047082,627.88,7.810210443301713,305.59000000000003,3.8012394237251868,44.53,0.5539094588778513,8.52,0.10598043093732973,0.02,0.0002487803543129806
28,8035.249999999999,2693.0099999999998,33.51494975265238,1030.69,12.827105566099375,3951.23,49.17370336952802,295.26,3.6745589745185283,54.36,0.6765190877695156,10.489999999999998,0.13054976509753896,0.21,0.0026134843346504464
29,8038.900000000001,1781.93,22.166341166079935,5133.42,63.85724415031907,685.6399999999999,8.529027603279053,380.66,4.73522496859023,48.279999999999994,0.6005796812996802,8.91,0.11083605965990372,0.06,0.0007463707721205637
30,8039.0,2544.17,31.6478417713646,4187.360000000001,52.08807065555418,862.39,10.727578056972261,353.79999999999995,4.401044906082845,77.80000000000001,0.9677820624455779,13.44,0.16718497325538,0.04,0.0004975743251648215
31,8038.250000000001,3102.16,38.59247970640375,4045.06,50.322644854290424,388.46,4.832643921251516,336.76,4.189469100861505,143.35999999999999,1.7834727708145426,22.45,0.27928964637825393,0.0,0.0
32,8038.860000000001,2371.63,29.502068701283513,4102.48,51.033106684281094,1211.49,15.070420432747925,263.55999999999995,3.2785743252152657,75.65,0.9410538310158405,13.84,0.1721637147555748,0.21000000000000002,0.002612310700771005
