turbine_id,power_gen_percentage,health_score,status_transitions
40,80.69249227806672,67.2,6892
47,66.97500034208619,66.15,6293
59,60.314208160107086,67.23,6855
68,59.97429632136316,62.17,7282
8,56.64516337690383,62.79,5949
65,55.748304016740256,61.31,10479
58,54.976872874207864,62.41,7591
61,54.69164031379613,61.49,6292
25,53.04430568685009,77.96,2070
60,52.33560226096648,66.6,5602
