turbine_id,power_gen_percentage,health_score,status_transitions
20,23.70476145417113,88.88,2633
73,22.632248048901243,54.26,4723
29,22.166341166079935,82.09,3281
2,22.005361730184305,80.39,3757
42,21.98452411183375,75.77,3934
17,20.974524083810017,68.9,5301
37,18.483269042370804,69.37,1993
9,17.19835859009905,80.69,2908
23,9.885850636847787,73.18,3176
19,2.4398025823819736,86.51,725
