设备状态统计_历史状态明细,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
  电场:[三峡阳江海路海风场];  设备类型:风机;  设备:[#44];  查询方式:详情;  开始时间:2025-01-01;  结束时间:2025-12-01,,,,,,,,,
序号,馈线名称,设备名称,型号名称,状态,状态码,开始时间,结束时间,持续时间(s),时长描述(h)
1,L13,#44,GW252/13600,(5)发电状态,5,2025-11-28 13:03:22,2025-12-01 23:59:59,298597,82.94
2,L13,#44,GW252/13600,(4)启机状态,4,2025-11-28 13:02:42,2025-11-28 13:03:22,40,0.01
3,L13,#44,GW252/13600,(3)待机状态,3,2025-11-28 13:02:07,2025-11-28 13:02:42,35,0.01
4,L13,#44,GW252/13600,(2)停机状态,2,2025-11-28 12:24:20,2025-11-28 13:02:07,2267,0.63
5,L13,#44,GW252/13600,(1)停机过程,1,2025-11-28 12:23:25,2025-11-28 12:24:20,55,0.02
6,L13,#44,GW252/13600,(5)发电状态,5,2025-11-26 14:16:47,2025-11-28 12:23:25,165998,46.11
7,L13,#44,GW252/13600,(4)启机状态,4,2025-11-26 14:15:58,2025-11-26 14:16:47,49,0.01
8,L13,#44,GW252/13600,(3)待机状态,3,2025-11-26 14:15:18,2025-11-26 14:15:58,40,0.01
9,L13,#44,GW252/13600,(2)停机状态,2,2025-11-26 14:05:25,2025-11-26 14:15:18,593,0.16
10,L13,#44,GW252/13600,(1)停机过程,1,2025-11-26 14:04:29,2025-11-26 14:05:25,56,0.02
11,L13,#44,GW252/13600,(5)发电状态,5,2025-11-26 13:35:12,2025-11-26 14:04:29,1757,0.49
12,L13,#44,GW252/13600,(4)启机状态,4,2025-11-26 13:34:24,2025-11-26 13:35:12,48,0.01
13,L13,#44,GW252/13600,(3)待机状态,3,2025-11-26 13:33:46,2025-11-26 13:34:24,38,0.01
14,L13,#44,GW252/13600,(2)停机状态,2,2025-11-26 13:25:32,2025-11-26 13:33:46,494,0.14
15,L13,#44,GW252/13600,(1)停机过程,1,2025-11-26 13:24:36,2025-11-26 13:25:32,56,0.02
16,L13,#44,GW252/13600,(5)发电状态,5,2025-11-26 12:50:22,2025-11-26 13:24:36,2054,0.57
17,L13,#44,GW252/13600,(4)启机状态,4,2025-11-26 12:49:35,2025-11-26 12:50:22,47,0.01
18,L13,#44,GW252/13600,(3)待机状态,3,2025-11-26 12:48:57,2025-11-26 12:49:35,38,0.01
19,L13,#44,GW252/13600,(2)停机状态,2,2025-11-26 11:38:14,2025-11-26 12:48:57,4243,1.18
20,L13,#44,GW252/13600,(1)停机过程,1,2025-11-26 11:37:19,2025-11-26 11:38:14,55,0.02
21,L13,#44,GW252/13600,(5)发电状态,5,2025-11-25 17:14:34,2025-11-26 11:37:19,66165,18.38
22,L13,#44,GW252/13600,(4)启机状态,4,2025-11-25 17:13:49,2025-11-25 17:14:34,45,0.01
