设备状态统计_历史状态明细,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
  电场:[三峡阳江海路海风场];  设备类型:风机;  设备:[#50];  查询方式:详情;  开始时间:2025-01-01;  结束时间:2025-12-01,,,,,,,,,
序号,馈线名称,设备名称,型号名称,状态,状态码,开始时间,结束时间,持续时间(s),时长描述(h)
1,L16,#50,GW252/13600,(5)发电状态,5,2025-11-28 13:03:39,2025-12-01 23:59:59,298580,82.94
2,L16,#50,GW252/13600,(4)启机状态,4,2025-11-28 13:02:57,2025-11-28 13:03:39,42,0.01
3,L16,#50,GW252/13600,(3)待机状态,3,2025-11-28 13:02:22,2025-11-28 13:02:57,35,0.01
4,L16,#50,GW252/13600,(2)停机状态,2,2025-11-28 12:25:11,2025-11-28 13:02:22,2231,0.62
5,L16,#50,GW252/13600,(1)停机过程,1,2025-11-28 12:24:18,2025-11-28 12:25:11,53,0.01
6,L16,#50,GW252/13600,(5)发电状态,5,2025-11-26 14:14:03,2025-11-28 12:24:18,166215,46.17
7,L16,#50,GW252/13600,(4)启机状态,4,2025-11-26 14:13:14,2025-11-26 14:14:03,49,0.01
8,L16,#50,GW252/13600,(3)待机状态,3,2025-11-26 14:12:34,2025-11-26 14:13:14,40,0.01
9,L16,#50,GW252/13600,(2)停机状态,2,2025-11-26 14:05:25,2025-11-26 14:12:34,429,0.12
10,L16,#50,GW252/13600,(1)停机过程,1,2025-11-26 14:04:29,2025-11-26 14:05:25,56,0.02
11,L16,#50,GW252/13600,(5)发电状态,5,2025-11-26 12:57:12,2025-11-26 14:04:29,4037,1.12
12,L16,#50,GW252/13600,(4)启机状态,4,2025-11-26 12:56:28,2025-11-26 12:57:12,44,0.01
13,L16,#50,GW252/13600,(3)待机状态,3,2025-11-26 12:55:49,2025-11-26 12:56:28,39,0.01
14,L16,#50,GW252/13600,(2)停机状态,2,2025-11-26 11:39:58,2025-11-26 12:55:49,4551,1.26
15,L16,#50,GW252/13600,(1)停机过程,1,2025-11-26 11:39:04,2025-11-26 11:39:58,54,0.02
16,L16,#50,GW252/13600,(5)发电状态,5,2025-11-25 17:14:34,2025-11-26 11:39:04,66270,18.41
17,L16,#50,GW252/13600,(4)启机状态,4,2025-11-25 17:13:47,2025-11-25 17:14:34,47,0.01
18,L16,#50,GW252/13600,(3)待机状态,3,2025-11-25 17:13:10,2025-11-25 17:13:47,37,0.01
19,L16,#50,GW252/13600,(2)停机状态,2,2025-11-25 17:03:59,2025-11-25 17:13:10,551,0.15
20,L16,#50,GW252/13600,(1)停机过程,1,2025-11-25 17:03:00,2025-11-25 17:03:59,59,0.02
21,L16,#50,GW252/13600,(5)发电状态,5,2025-11-25 13:32:54,2025-11-25 17:03:00,12606,3.5
22,L16,#50,GW252/13600,(4)启机状态,4,2025-11-25 13:32:17,2025-11-25 13:32:54,37,0.01
23,L16,#50,GW252/13600,(3)待机状态,3,2025-11-25 13:31:40,2025-11-25 13:32:17,37,0.01
24,L16,#50,GW252/13600,(2)停机状态,2,2025-11-25 13:10:07,2025-11-25 13:31:40,1293,0.36
25,L16,#50,GW252/13600,(1)停机过程,1,2025-11-25 13:09:13,2025-11-25 13:10:07,54,0.02
26,L16,#50,GW252/13600,(5)发电状态,5,2025-11-25 12:59:48,2025-11-25 13:09:13,565,0.16
27,L16,#50,GW252/13600,(4)启机状态,4,2025-11-25 12:59:08,2025-11-25 12:59:48,40,0.01
28,L16,#50,GW252/13600,(3)待机状态,3,2025-11-25 12:58:33,2025-11-25 12:59:08,35,0.01
29,L16,#50,GW252/13600,(2)停机状态,2,2025-11-25 10:46:55,2025-11-25 12:58:33,7898,2.19
30,L16,#50,GW252/13600,(1)停机过程,1,2025-11-25 10:46:00,2025-11-25 10:46:55,55,0.02
31,L16,#50,GW252/13600,(5)发电状态,5,2025-11-25 09:42:46,2025-11-25 10:46:00,3794,1.05
