设备状态统计_历史状态明细,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
  电场:[三峡阳江海路海风场];  设备类型:风机;  设备:[#43];  查询方式:详情;  开始时间:2025-01-01;  结束时间:2025-12-01,,,,,,,,,
序号,馈线名称,设备名称,型号名称,状态,状态码,开始时间,结束时间,持续时间(s),时长描述(h)
53,L14,#43,GW252/13600,(4)启机状态,4,2025-11-12 21:01:07,2025-11-12 21:03:53,166,0.05
54,L14,#43,GW252/13600,(3)待机状态,3,2025-11-12 20:53:47,2025-11-12 21:01:07,440,0.12
55,L14,#43,GW252/13600,(2)停机状态,2,2025-11-12 20:53:46,2025-11-12 20:53:47,1,0
56,L14,#43,GW252/13600,(1)停机过程,1,2025-11-12 20:52:51,2025-11-12 20:53:46,55,0.02
57,L14,#43,GW252/13600,(4)启机状态,4,2025-11-12 20:47:51,2025-11-12 20:52:51,300,0.08
58,L14,#43,GW252/13600,(3)待机状态,3,2025-11-12 16:12:54,2025-11-12 20:47:51,16497,4.58
59,L14,#43,GW252/13600,(2)停机状态,2,2025-11-12 16:12:52,2025-11-12 16:12:54,2,0
60,L14,#43,GW252/13600,(1)停机过程,1,2025-11-12 16:11:58,2025-11-12 16:12:52,54,0.02
61,L14,#43,GW252/13600,(5)发电状态,5,2025-11-12 14:12:57,2025-11-12 16:11:58,7141,1.98
62,L14,#43,GW252/13600,(4)启机状态,4,2025-11-12 14:09:35,2025-11-12 14:12:57,202,0.06
63,L14,#43,GW252/13600,(3)待机状态,3,2025-11-12 13:03:12,2025-11-12 14:09:35,3983,1.11
64,L14,#43,GW252/13600,(2)停机状态,2,2025-11-12 13:02:08,2025-11-12 13:03:12,64,0.02
65,L14,#43,GW252/13600,(1)停机过程,1,2025-11-12 13:01:13,2025-11-12 13:02:08,55,0.02
66,L14,#43,GW252/13600,(5)发电状态,5,2025-11-11 19:44:01,2025-11-12 13:01:13,62232,17.29
67,L14,#43,GW252/13600,(4)启机状态,4,2025-11-11 19:43:14,2025-11-11 19:44:01,47,0.01
68,L14,#43,GW252/13600,(3)待机状态,3,2025-11-11 19:42:33,2025-11-11 19:43:14,41,0.01
69,L14,#43,GW252/13600,(2)停机状态,2,2025-11-11 19:00:44,2025-11-11 19:42:33,2509,0.7
70,L14,#43,GW252/13600,(1)停机过程,1,2025-11-11 18:59:51,2025-11-11 19:00:44,53,0.01
71,L14,#43,GW252/13600,(5)发电状态,5,2025-11-10 21:22:05,2025-11-11 18:59:51,77866,21.63
72,L14,#43,GW252/13600,(4)启机状态,4,2025-11-10 21:20:08,2025-11-10 21:22:05,117,0.03
73,L14,#43,GW252/13600,(3)待机状态,3,2025-11-10 21:19:22,2025-11-10 21:20:08,46,0.01
74,L14,#43,GW252/13600,(2)停机状态,2,2025-11-10 20:41:45,2025-11-10 21:19:22,2257,0.63
75,L14,#43,GW252/13600,(1)停机过程,1,2025-11-10 20:40:49,2025-11-10 20:41:45,56,0.02
76,L14,#43,GW252/13600,(5)发电状态,5,2025-11-09 21:38:06,2025-11-10 20:40:49,82963,23.05
77,L14,#43,GW252/13600,(4)启机状态,4,2025-11-09 21:36:07,2025-11-09 21:38:06,119,0.03
78,L14,#43,GW252/13600,(3)待机状态,3,2025-11-09 17:17:24,2025-11-09 21:36:07,15523,4.31
79,L14,#43,GW252/13600,(2)停机状态,2,2025-11-09 16:40:43,2025-11-09 17:17:24,2201,0.61
80,L14,#43,GW252/13600,(1)停机过程,1,2025-11-09 16:39:48,2025-11-09 16:40:43,55,0.02
81,L14,#43,GW252/13600,(5)发电状态,5,2025-11-09 16:01:12,2025-11-09 16:39:48,2316,0.64
82,L14,#43,GW252/13600,(4)启机状态,4,2025-11-09 15:56:19,2025-11-09 16:01:12,293,0.08
83,L14,#43,GW252/13600,(3)待机状态,3,2025-11-09 14:07:01,2025-11-09 15:56:19,6558,1.82
84,L14,#43,GW252/13600,(2)停机状态,2,2025-11-09 13:30:10,2025-11-09 14:07:01,2211,0.61
85,L14,#43,GW252/13600,(1)停机过程,1,2025-11-09 13:29:16,2025-11-09 13:30:10,54,0.02
86,L14,#43,GW252/13600,(5)发电状态,5,2025-11-09 07:02:53,2025-11-09 13:29:16,23183,6.44
87,L14,#43,GW252/13600,(4)启机状态,4,2025-11-09 07:00:35,2025-11-09 07:02:53,138,0.04
88,L14,#43,GW252/13600,(3)待机状态,3,2025-11-09 06:33:11,2025-11-09 07:00:35,1644,0.46
89,L14,#43,GW252/13600,(2)停机状态,2,2025-11-09 05:56:31,2025-11-09 06:33:11,2200,0.61
90,L14,#43,GW252/13600,(1)停机过程,1,2025-11-09 05:55:36,2025-11-09 05:56:31,55,0.02
91,L14,#43,GW252/13600,(5)发电状态,5,2025-11-05 13:48:05,2025-11-09 05:55:36,317251,88.13
