设备状态统计_历史状态明细,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
  电场:[三峡阳江海路海风场];  设备类型:风机;  设备:[#49];  查询方式:详情;  开始时间:2025-01-01;  结束时间:2025-12-01,,,,,,,,,
序号,馈线名称,设备名称,型号名称,状态,状态码,开始时间,结束时间,持续时间(s),时长描述(h)
1,L18,#49,GW252/13600,(5)发电状态,5,2025-11-28 13:03:31,2025-12-01 23:59:59,298588,82.94
2,L18,#49,GW252/13600,(4)启机状态,4,2025-11-28 13:02:51,2025-11-28 13:03:31,40,0.01
3,L18,#49,GW252/13600,(3)待机状态,3,2025-11-28 13:02:17,2025-11-28 13:02:51,34,0.01
4,L18,#49,GW252/13600,(2)停机状态,2,2025-11-28 12:24:20,2025-11-28 13:02:17,2277,0.63
5,L18,#49,GW252/13600,(1)停机过程,1,2025-11-28 12:23:24,2025-11-28 12:24:20,56,0.02
6,L18,#49,GW252/13600,(5)发电状态,5,2025-11-26 14:13:34,2025-11-28 12:23:24,166190,46.16
7,L18,#49,GW252/13600,(4)启机状态,4,2025-11-26 14:12:46,2025-11-26 14:13:34,48,0.01
8,L18,#49,GW252/13600,(3)待机状态,3,2025-11-26 14:12:06,2025-11-26 14:12:46,40,0.01
9,L18,#49,GW252/13600,(2)停机状态,2,2025-11-26 14:05:24,2025-11-26 14:12:06,402,0.11
10,L18,#49,GW252/13600,(1)停机过程,1,2025-11-26 14:04:28,2025-11-26 14:05:24,56,0.02
11,L18,#49,GW252/13600,(5)发电状态,5,2025-11-26 13:35:19,2025-11-26 14:04:28,1749,0.49
12,L18,#49,GW252/13600,(4)启机状态,4,2025-11-26 13:34:32,2025-11-26 13:35:19,47,0.01
13,L18,#49,GW252/13600,(3)待机状态,3,2025-11-26 13:33:54,2025-11-26 13:34:32,38,0.01
14,L18,#49,GW252/13600,(2)停机状态,2,2025-11-26 11:38:14,2025-11-26 13:33:54,6940,1.93
15,L18,#49,GW252/13600,(1)停机过程,1,2025-11-26 11:37:19,2025-11-26 11:38:14,55,0.02
16,L18,#49,GW252/13600,(5)发电状态,5,2025-11-25 17:14:31,2025-11-26 11:37:19,66168,18.38
17,L18,#49,GW252/13600,(4)启机状态,4,2025-11-25 17:13:47,2025-11-25 17:14:31,44,0.01
18,L18,#49,GW252/13600,(3)待机状态,3,2025-11-25 17:13:12,2025-11-25 17:13:47,35,0.01
19,L18,#49,GW252/13600,(2)停机状态,2,2025-11-25 17:04:02,2025-11-25 17:13:12,550,0.15
20,L18,#49,GW252/13600,(1)停机过程,1,2025-11-25 17:03:01,2025-11-25 17:04:02,61,0.02
21,L18,#49,GW252/13600,(5)发电状态,5,2025-11-25 13:32:56,2025-11-25 17:03:01,12605,3.5
22,L18,#49,GW252/13600,(4)启机状态,4,2025-11-25 13:32:16,2025-11-25 13:32:56,40,0.01
23,L18,#49,GW252/13600,(3)待机状态,3,2025-11-25 13:31:41,2025-11-25 13:32:16,35,0.01
24,L18,#49,GW252/13600,(2)停机状态,2,2025-11-25 13:10:09,2025-11-25 13:31:41,1292,0.36
25,L18,#49,GW252/13600,(1)停机过程,1,2025-11-25 13:09:13,2025-11-25 13:10:09,56,0.02
26,L18,#49,GW252/13600,(5)发电状态,5,2025-11-25 10:13:03,2025-11-25 13:09:13,10570,2.94
27,L18,#49,GW252/13600,(4)启机状态,4,2025-11-25 10:12:27,2025-11-25 10:13:03,36,0.01
28,L18,#49,GW252/13600,(3)待机状态,3,2025-11-25 10:11:56,2025-11-25 10:12:27,31,0.01
29,L18,#49,GW252/13600,(2)停机状态,2,2025-11-25 09:57:05,2025-11-25 10:11:56,891,0.25
30,L18,#49,GW252/13600,(1)停机过程,1,2025-11-25 09:56:14,2025-11-25 09:57:05,51,0.01
31,L18,#49,GW252/13600,(5)发电状态,5,2025-11-25 09:42:43,2025-11-25 09:56:14,811,0.23
32,L18,#49,GW252/13600,(4)启机状态,4,2025-11-25 09:42:10,2025-11-25 09:42:43,33,0.01
33,L18,#49,GW252/13600,(3)待机状态,3,2025-11-25 09:41:40,2025-11-25 09:42:10,30,0.01
34,L18,#49,GW252/13600,(2)停机状态,2,2025-11-25 08:43:23,2025-11-25 09:41:40,3497,0.97
35,L18,#49,GW252/13600,(1)停机过程,1,2025-11-25 08:42:31,2025-11-25 08:43:23,52,0.01
36,L18,#49,GW252/13600,(5)发电状态,5,2025-11-25 06:59:42,2025-11-25 08:42:31,6169,1.71
37,L18,#49,GW252/13600,(4)启机状态,4,2025-11-25 06:59:09,2025-11-25 06:59:42,33,0.01
38,L18,#49,GW252/13600,(3)待机状态,3,2025-11-25 06:58:38,2025-11-25 06:59:09,31,0.01
39,L18,#49,GW252/13600,(2)停机状态,2,2025-11-25 06:04:39,2025-11-25 06:58:38,3239,0.9
40,L18,#49,GW252/13600,(1)停机过程,1,2025-11-25 06:03:47,2025-11-25 06:04:39,52,0.01
41,L18,#49,GW252/13600,(5)发电状态,5,2025-11-25 04:28:41,2025-11-25 06:03:47,5706,1.59
42,L18,#49,GW252/13600,(4)启机状态,4,2025-11-25 04:28:01,2025-11-25 04:28:41,40,0.01
43,L18,#49,GW252/13600,(3)待机状态,3,2025-11-25 04:27:28,2025-11-25 04:28:01,33,0.01
44,L18,#49,GW252/13600,(2)停机状态,2,2025-11-25 04:18:02,2025-11-25 04:27:28,566,0.16
45,L18,#49,GW252/13600,(1)停机过程,1,2025-11-25 04:17:03,2025-11-25 04:18:02,59,0.02
