设备状态统计_历史状态明细,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
  电场:[三峡阳江海路海风场];  设备类型:风机;  设备:[#23];  查询方式:详情;  开始时间:2025-01-01;  结束时间:2025-12-01,,,,,,,,,
序号,馈线名称,设备名称,型号名称,状态,状态码,开始时间,结束时间,持续时间(s),时长描述(h)
1,L15,#23,GW252/13600,(9)维护状态,9,2025-11-29 20:34:51,--,185108,51.42
2,L15,#23,GW252/13600,(2)停机状态,2,2025-11-29 20:31:09,2025-11-29 20:34:51,222,0.06
3,L15,#23,GW252/13600,(1)停机过程,1,2025-11-29 20:30:59,2025-11-29 20:31:09,10,0
4,L15,#23,GW252/13600,(9)维护状态,9,2025-11-28 12:09:01,2025-11-29 20:30:59,116518,32.37
5,L15,#23,GW252/13600,(2)停机状态,2,2025-11-28 12:07:46,2025-11-28 12:09:01,75,0.02
6,L15,#23,GW252/13600,(1)停机过程,1,2025-11-28 12:07:37,2025-11-28 12:07:46,9,0
7,L15,#23,GW252/13600,(9)维护状态,9,2025-11-18 09:16:18,2025-11-28 12:07:37,874279,242.86
8,L15,#23,GW252/13600,(2)停机状态,2,2025-11-18 09:11:34,2025-11-18 09:16:18,284,0.08
9,L15,#23,GW252/13600,(1)停机过程,1,2025-11-18 09:11:24,2025-11-18 09:11:34,10,0
10,L15,#23,GW252/13600,(9)维护状态,9,2025-11-17 19:38:18,2025-11-18 09:11:24,48786,13.55
11,L15,#23,GW252/13600,(2)停机状态,2,2025-11-02 23:53:06,2025-11-17 19:38:18,1280712,355.75
12,L15,#23,GW252/13600,(1)停机过程,1,2025-11-02 23:52:56,2025-11-02 23:53:06,10,0
13,L15,#23,GW252/13600,(9)维护状态,9,2025-11-02 22:13:38,2025-11-02 23:52:56,5958,1.66
14,L15,#23,GW252/13600,(2)停机状态,2,2025-10-31 07:52:24,2025-11-02 22:13:38,224474,62.35
15,L15,#23,GW252/13600,(1)停机过程,1,2025-10-31 07:52:14,2025-10-31 07:52:24,10,0
16,L15,#23,GW252/13600,(9)维护状态,9,2025-10-30 22:55:25,2025-10-31 07:52:14,32209,8.95
17,L15,#23,GW252/13600,(2)停机状态,2,2025-10-28 13:40:05,2025-10-30 22:55:25,206120,57.26
18,L15,#23,GW252/13600,(2)停机状态,2,2025-10-20 13:27:13,2025-10-28 13:40:05,691972,192.21
19,L15,#23,GW252/13600,(1)停机过程,1,2025-10-20 13:27:02,2025-10-20 13:27:13,11,0
20,L15,#23,GW252/13600,(9)维护状态,9,2025-10-20 13:26:27,2025-10-20 13:27:02,35,0.01
21,L15,#23,GW252/13600,(2)停机状态,2,2025-10-20 13:21:59,2025-10-20 13:26:27,268,0.07
22,L15,#23,GW252/13600,(0)初始化,0,2025-10-20 13:20:43,2025-10-20 13:21:59,76,0.02
23,L15,#23,GW252/13600,(9)维护状态,9,2025-10-20 13:18:52,2025-10-20 13:20:43,111,0.03
24,L15,#23,GW252/13600,(2)停机状态,2,2025-10-13 09:49:03,2025-10-20 13:18:52,617389,171.5
25,L15,#23,GW252/13600,(1)停机过程,1,2025-10-13 09:48:53,2025-10-13 09:49:03,10,0
26,L15,#23,GW252/13600,(9)维护状态,9,2025-10-07 11:21:59,2025-10-13 09:48:53,512814,142.45
27,L15,#23,GW252/13600,(2)停机状态,2,2025-10-07 11:10:32,2025-10-07 11:21:59,687,0.19
28,L15,#23,GW252/13600,(1)停机过程,1,2025-10-07 11:10:22,2025-10-07 11:10:32,10,0
29,L15,#23,GW252/13600,(9)维护状态,9,2025-10-07 10:32:14,2025-10-07 11:10:22,2288,0.64
30,L15,#23,GW252/13600,(2)停机状态,2,2025-10-07 10:25:01,2025-10-07 10:32:14,433,0.12
31,L15,#23,GW252/13600,(0)初始化,0,2025-10-07 10:21:52,2025-10-07 10:25:01,189,0.05
32,L15,#23,GW252/13600,(9)维护状态,9,2025-10-06 23:31:51,2025-10-07 10:21:52,39001,10.83
33,L15,#23,GW252/13600,(2)停机状态,2,2025-10-06 18:01:34,2025-10-06 23:31:51,19817,5.5
34,L15,#23,GW252/13600,(1)停机过程,1,2025-10-06 18:01:24,2025-10-06 18:01:34,10,0
35,L15,#23,GW252/13600,(9)维护状态,9,2025-10-06 17:54:15,2025-10-06 18:01:24,429,0.12
36,L15,#23,GW252/13600,(2)停机状态,2,2025-10-05 03:22:51,2025-10-06 17:54:15,138684,38.52
37,L15,#23,GW252/13600,(1)停机过程,1,2025-10-05 03:22:40,2025-10-05 03:22:51,11,0
38,L15,#23,GW252/13600,(9)维护状态,9,2025-10-04 20:41:29,2025-10-05 03:22:40,24071,6.69
39,L15,#23,GW252/13600,(2)停机状态,2,2025-10-04 20:39:47,2025-10-04 20:41:29,102,0.03
40,L15,#23,GW252/13600,(1)停机过程,1,2025-10-04 20:39:37,2025-10-04 20:39:47,10,0
41,L15,#23,GW252/13600,(9)维护状态,9,2025-10-04 16:26:41,2025-10-04 20:39:37,15176,4.22
42,L15,#23,GW252/13600,(2)停机状态,2,2025-10-04 16:05:29,2025-10-04 16:26:41,1272,0.35
43,L15,#23,GW252/13600,(1)停机过程,1,2025-10-04 16:05:18,2025-10-04 16:05:29,11,0
44,L15,#23,GW252/13600,(9)维护状态,9,2025-10-02 14:47:19,2025-10-04 16:05:18,177479,49.3
45,L15,#23,GW252/13600,(9)维护状态,9,2025-09-25 14:29:30,2025-10-02 14:47:19,605869,168.3
46,L15,#23,GW252/13600,(2)停机状态,2,2025-09-23 19:47:11,2025-09-25 14:29:30,153739,42.71
47,L15,#23,GW252/13600,(1)停机过程,1,2025-09-23 19:47:00,2025-09-23 19:47:11,11,0
48,L15,#23,GW252/13600,(9)维护状态,9,2025-09-23 18:15:56,2025-09-23 19:47:00,5464,1.52
49,L15,#23,GW252/13600,(0)初始化,0,2025-09-23 18:12:55,2025-09-23 18:15:56,181,0.05
50,L15,#23,GW252/13600,(9)维护状态,9,2025-09-23 00:06:35,2025-09-23 18:12:55,65180,18.11
51,L15,#23,GW252/13600,(2)停机状态,2,2025-09-22 23:55:31,2025-09-23 00:06:35,664,0.18
52,L15,#23,GW252/13600,(1)停机过程,1,2025-09-22 23:55:22,2025-09-22 23:55:31,9,0
53,L15,#23,GW252/13600,(9)维护状态,9,2025-09-21 09:17:00,2025-09-22 23:55:22,139102,38.64
54,L15,#23,GW252/13600,(2)停机状态,2,2025-09-21 09:05:39,2025-09-21 09:17:00,681,0.19
55,L15,#23,GW252/13600,(1)停机过程,1,2025-09-21 09:05:29,2025-09-21 09:05:39,10,0
56,L15,#23,GW252/13600,(9)维护状态,9,2025-09-20 19:14:14,2025-09-21 09:05:29,49875,13.85
57,L15,#23,GW252/13600,(2)停机状态,2,2025-09-20 19:11:59,2025-09-20 19:14:14,135,0.04
58,L15,#23,GW252/13600,(1)停机过程,1,2025-09-20 19:11:49,2025-09-20 19:11:59,10,0
59,L15,#23,GW252/13600,(9)维护状态,9,2025-09-20 14:46:12,2025-09-20 19:11:49,15937,4.43
60,L15,#23,GW252/13600,(2)停机状态,2,2025-09-20 14:43:10,2025-09-20 14:46:12,182,0.05
61,L15,#23,GW252/13600,(1)停机过程,1,2025-09-20 14:42:59,2025-09-20 14:43:10,11,0
62,L15,#23,GW252/13600,(9)维护状态,9,2025-09-16 21:17:26,2025-09-20 14:42:59,321933,89.43
63,L15,#23,GW252/13600,(2)停机状态,2,2025-09-16 21:16:55,2025-09-16 21:17:26,31,0.01
64,L15,#23,GW252/13600,(0)初始化,0,2025-09-16 21:15:42,2025-09-16 21:16:55,73,0.02
65,L15,#23,GW252/13600,(9)维护状态,9,2025-09-16 19:37:54,2025-09-16 21:15:42,5868,1.63
66,L15,#23,GW252/13600,(2)停机状态,2,2025-09-16 19:30:17,2025-09-16 19:37:54,457,0.13
67,L15,#23,GW252/13600,(1)停机过程,1,2025-09-16 19:30:07,2025-09-16 19:30:17,10,0
68,L15,#23,GW252/13600,(9)维护状态,9,2025-09-16 16:34:23,2025-09-16 19:30:07,10544,2.93
69,L15,#23,GW252/13600,(2)停机状态,2,2025-09-16 16:31:19,2025-09-16 16:34:23,184,0.05
70,L15,#23,GW252/13600,(0)初始化,0,2025-09-16 16:30:03,2025-09-16 16:31:19,76,0.02
71,L15,#23,GW252/13600,(9)维护状态,9,2025-09-16 16:04:38,2025-09-16 16:30:03,1525,0.42
72,L15,#23,GW252/13600,(2)停机状态,2,2025-09-16 16:00:01,2025-09-16 16:04:38,277,0.08
73,L15,#23,GW252/13600,(1)停机过程,1,2025-09-16 15:59:51,2025-09-16 16:00:01,10,0
74,L15,#23,GW252/13600,(9)维护状态,9,2025-09-16 15:56:16,2025-09-16 15:59:51,215,0.06
