设备状态统计_历史状态明细,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
  电场:[三峡阳江海路海风场];  设备类型:风机;  设备:[#17];  查询方式:详情;  开始时间:2025-01-01;  结束时间:2025-12-01,,,,,,,,,
序号,馈线名称,设备名称,型号名称,状态,状态码,开始时间,结束时间,持续时间(s),时长描述(h)
1,L03,#17,GW252/13600,(5)发电状态,5,2025-11-28 12:58:09,2025-12-01 23:59:59,298910,83.03
2,L03,#17,GW252/13600,(4)启机状态,4,2025-11-28 12:57:31,2025-11-28 12:58:09,38,0.01
3,L03,#17,GW252/13600,(3)待机状态,3,2025-11-28 12:56:56,2025-11-28 12:57:31,35,0.01
4,L03,#17,GW252/13600,(2)停机状态,2,2025-11-28 12:25:11,2025-11-28 12:56:56,1905,0.53
5,L03,#17,GW252/13600,(1)停机过程,1,2025-11-28 12:24:18,2025-11-28 12:25:11,53,0.01
6,L03,#17,GW252/13600,(5)发电状态,5,2025-11-26 14:13:30,2025-11-28 12:24:18,166248,46.18
7,L03,#17,GW252/13600,(4)启机状态,4,2025-11-26 14:12:42,2025-11-26 14:13:30,48,0.01
8,L03,#17,GW252/13600,(3)待机状态,3,2025-11-26 14:12:05,2025-11-26 14:12:42,37,0.01
9,L03,#17,GW252/13600,(2)停机状态,2,2025-11-26 14:05:24,2025-11-26 14:12:05,401,0.11
10,L03,#17,GW252/13600,(1)停机过程,1,2025-11-26 14:04:29,2025-11-26 14:05:24,55,0.02
11,L03,#17,GW252/13600,(5)发电状态,5,2025-11-26 13:35:05,2025-11-26 14:04:29,1764,0.49
12,L03,#17,GW252/13600,(4)启机状态,4,2025-11-26 13:34:18,2025-11-26 13:35:05,47,0.01
13,L03,#17,GW252/13600,(3)待机状态,3,2025-11-26 13:33:39,2025-11-26 13:34:18,39,0.01
14,L03,#17,GW252/13600,(2)停机状态,2,2025-11-26 13:25:39,2025-11-26 13:33:39,480,0.13
15,L03,#17,GW252/13600,(1)停机过程,1,2025-11-26 13:24:36,2025-11-26 13:25:39,63,0.02
16,L03,#17,GW252/13600,(5)发电状态,5,2025-11-26 12:50:14,2025-11-26 13:24:36,2062,0.57
17,L03,#17,GW252/13600,(4)启机状态,4,2025-11-26 12:49:27,2025-11-26 12:50:14,47,0.01
18,L03,#17,GW252/13600,(3)待机状态,3,2025-11-26 12:48:47,2025-11-26 12:49:27,40,0.01
19,L03,#17,GW252/13600,(2)停机状态,2,2025-11-26 11:39:59,2025-11-26 12:48:47,4128,1.15
20,L03,#17,GW252/13600,(1)停机过程,1,2025-11-26 11:39:04,2025-11-26 11:39:59,55,0.02
21,L03,#17,GW252/13600,(5)发电状态,5,2025-11-25 08:58:14,2025-11-26 11:39:04,96050,26.68
22,L03,#17,GW252/13600,(4)启机状态,4,2025-11-25 08:57:42,2025-11-25 08:58:14,32,0.01
23,L03,#17,GW252/13600,(3)待机状态,3,2025-11-25 08:57:10,2025-11-25 08:57:42,32,0.01
24,L03,#17,GW252/13600,(2)停机状态,2,2025-11-25 08:43:25,2025-11-25 08:57:10,825,0.23
25,L03,#17,GW252/13600,(1)停机过程,1,2025-11-25 08:42:31,2025-11-25 08:43:25,54,0.02
26,L03,#17,GW252/13600,(5)发电状态,5,2025-11-25 06:59:31,2025-11-25 08:42:31,6180,1.72
27,L03,#17,GW252/13600,(4)启机状态,4,2025-11-25 06:58:58,2025-11-25 06:59:31,33,0.01
28,L03,#17,GW252/13600,(3)待机状态,3,2025-11-25 06:58:25,2025-11-25 06:58:58,33,0.01
29,L03,#17,GW252/13600,(2)停机状态,2,2025-11-25 06:04:40,2025-11-25 06:58:25,3225,0.9
30,L03,#17,GW252/13600,(1)停机过程,1,2025-11-25 06:03:48,2025-11-25 06:04:40,52,0.01
31,L03,#17,GW252/13600,(5)发电状态,5,2025-11-25 00:01:53,2025-11-25 06:03:48,21715,6.03
32,L03,#17,GW252/13600,(4)启机状态,4,2025-11-25 00:00:27,2025-11-25 00:01:53,86,0.02
33,L03,#17,GW252/13600,(3)待机状态,3,2025-11-24 23:59:32,2025-11-25 00:00:27,55,0.02
34,L03,#17,GW252/13600,(2)停机状态,2,2025-11-24 23:51:44,2025-11-24 23:59:32,468,0.13
35,L03,#17,GW252/13600,(1)停机过程,1,2025-11-24 23:50:40,2025-11-24 23:51:44,64,0.02
36,L03,#17,GW252/13600,(5)发电状态,5,2025-11-24 23:01:39,2025-11-24 23:50:40,2941,0.82
37,L03,#17,GW252/13600,(4)启机状态,4,2025-11-24 22:59:25,2025-11-24 23:01:39,134,0.04
38,L03,#17,GW252/13600,(3)待机状态,3,2025-11-24 22:45:41,2025-11-24 22:59:25,824,0.23
39,L03,#17,GW252/13600,(2)停机状态,2,2025-11-24 22:08:38,2025-11-24 22:45:41,2223,0.62
40,L03,#17,GW252/13600,(1)停机过程,1,2025-11-24 22:07:42,2025-11-24 22:08:38,56,0.02
41,L03,#17,GW252/13600,(5)发电状态,5,2025-11-24 13:18:59,2025-11-24 22:07:42,31723,8.81
42,L03,#17,GW252/13600,(4)启机状态,4,2025-11-24 13:17:55,2025-11-24 13:18:59,64,0.02
43,L03,#17,GW252/13600,(3)待机状态,3,2025-11-24 13:17:10,2025-11-24 13:17:55,45,0.01
44,L03,#17,GW252/13600,(2)停机状态,2,2025-11-24 13:12:11,2025-11-24 13:17:10,299,0.08
45,L03,#17,GW252/13600,(1)停机过程,1,2025-11-24 13:11:09,2025-11-24 13:12:11,62,0.02
46,L03,#17,GW252/13600,(5)发电状态,5,2025-11-24 13:03:32,2025-11-24 13:11:09,457,0.13
47,L03,#17,GW252/13600,(4)启机状态,4,2025-11-24 13:02:31,2025-11-24 13:03:32,61,0.02
48,L03,#17,GW252/13600,(3)待机状态,3,2025-11-24 13:01:47,2025-11-24 13:02:31,44,0.01
49,L03,#17,GW252/13600,(2)停机状态,2,2025-11-24 12:42:05,2025-11-24 13:01:47,1182,0.33
50,L03,#17,GW252/13600,(1)停机过程,1,2025-11-24 12:41:03,2025-11-24 12:42:05,62,0.02
51,L03,#17,GW252/13600,(5)发电状态,5,2025-11-23 22:43:23,2025-11-24 12:41:03,50260,13.96
52,L03,#17,GW252/13600,(4)启机状态,4,2025-11-23 22:41:35,2025-11-23 22:43:23,108,0.03
53,L03,#17,GW252/13600,(3)待机状态,3,2025-11-23 19:57:57,2025-11-23 22:41:35,9818,2.73
54,L03,#17,GW252/13600,(2)停机状态,2,2025-11-23 19:19:54,2025-11-23 19:57:57,2283,0.63
55,L03,#17,GW252/13600,(1)停机过程,1,2025-11-23 19:18:57,2025-11-23 19:19:54,57,0.02
56,L03,#17,GW252/13600,(5)发电状态,5,2025-11-23 12:50:56,2025-11-23 19:18:57,23281,6.47
57,L03,#17,GW252/13600,(4)启机状态,4,2025-11-23 12:50:02,2025-11-23 12:50:56,54,0.02
58,L03,#17,GW252/13600,(3)待机状态,3,2025-11-23 12:49:21,2025-11-23 12:50:02,41,0.01
59,L03,#17,GW252/13600,(2)停机状态,2,2025-11-23 12:48:33,2025-11-23 12:49:21,48,0.01
60,L03,#17,GW252/13600,(1)停机过程,1,2025-11-23 12:47:27,2025-11-23 12:48:33,66,0.02
61,L03,#17,GW252/13600,(5)发电状态,5,2025-11-22 11:50:35,2025-11-23 12:47:27,89812,24.95
62,L03,#17,GW252/13600,(4)启机状态,4,2025-11-22 11:49:54,2025-11-22 11:50:35,41,0.01
63,L03,#17,GW252/13600,(3)待机状态,3,2025-11-22 11:49:18,2025-11-22 11:49:54,36,0.01
