设备状态统计_历史状态明细,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
  电场:[三峡阳江海路海风场];  设备类型:风机;  设备:[#14];  查询方式:详情;  开始时间:2025-01-01;  结束时间:2025-12-01,,,,,,,,,
序号,馈线名称,设备名称,型号名称,状态,状态码,开始时间,结束时间,持续时间(s),时长描述(h)
1,L05,#14,GW252/13600,(9)维护状态,9,2025-12-01 12:51:29,2025-12-01 23:59:59,40110,11.14
2,L05,#14,GW252/13600,(2)停机状态,2,2025-12-01 10:43:59,2025-12-01 12:51:29,7650,2.13
3,L05,#14,GW252/13600,(1)停机过程,1,2025-12-01 10:43:00,2025-12-01 10:43:59,59,0.02
4,L05,#14,GW252/13600,(5)发电状态,5,2025-11-30 02:28:12,2025-12-01 10:43:00,116088,32.25
5,L05,#14,GW252/13600,(4)启机状态,4,2025-11-30 02:27:27,2025-11-30 02:28:12,45,0.01
6,L05,#14,GW252/13600,(3)待机状态,3,2025-11-30 02:26:51,2025-11-30 02:27:27,36,0.01
7,L05,#14,GW252/13600,(2)停机状态,2,2025-11-30 01:50:10,2025-11-30 02:26:51,2201,0.61
8,L05,#14,GW252/13600,(1)停机过程,1,2025-11-30 01:49:23,2025-11-30 01:50:10,47,0.01
9,L05,#14,GW252/13600,(5)发电状态,5,2025-11-28 12:58:30,2025-11-30 01:49:23,132653,36.85
10,L05,#14,GW252/13600,(4)启机状态,4,2025-11-28 12:57:47,2025-11-28 12:58:30,43,0.01
11,L05,#14,GW252/13600,(3)待机状态,3,2025-11-28 12:57:12,2025-11-28 12:57:47,35,0.01
12,L05,#14,GW252/13600,(2)停机状态,2,2025-11-28 12:25:13,2025-11-28 12:57:12,1919,0.53
13,L05,#14,GW252/13600,(1)停机过程,1,2025-11-28 12:24:18,2025-11-28 12:25:13,55,0.02
14,L05,#14,GW252/13600,(5)发电状态,5,2025-11-26 14:16:30,2025-11-28 12:24:18,166068,46.13
15,L05,#14,GW252/13600,(4)启机状态,4,2025-11-26 14:15:47,2025-11-26 14:16:30,43,0.01
16,L05,#14,GW252/13600,(3)待机状态,3,2025-11-26 14:15:07,2025-11-26 14:15:47,40,0.01
17,L05,#14,GW252/13600,(2)停机状态,2,2025-11-26 14:05:24,2025-11-26 14:15:07,583,0.16
18,L05,#14,GW252/13600,(1)停机过程,1,2025-11-26 14:04:28,2025-11-26 14:05:24,56,0.02
19,L05,#14,GW252/13600,(5)发电状态,5,2025-11-26 12:50:18,2025-11-26 14:04:28,4450,1.24
20,L05,#14,GW252/13600,(4)启机状态,4,2025-11-26 12:49:32,2025-11-26 12:50:18,46,0.01
21,L05,#14,GW252/13600,(3)待机状态,3,2025-11-26 12:48:56,2025-11-26 12:49:32,36,0.01
22,L05,#14,GW252/13600,(2)停机状态,2,2025-11-26 11:39:59,2025-11-26 12:48:56,4137,1.15
23,L05,#14,GW252/13600,(1)停机过程,1,2025-11-26 11:39:03,2025-11-26 11:39:59,56,0.02
24,L05,#14,GW252/13600,(5)发电状态,5,2025-11-25 10:58:18,2025-11-26 11:39:03,88845,24.68
25,L05,#14,GW252/13600,(4)启机状态,4,2025-11-25 10:57:42,2025-11-25 10:58:18,36,0.01
26,L05,#14,GW252/13600,(3)待机状态,3,2025-11-25 10:57:11,2025-11-25 10:57:42,31,0.01
27,L05,#14,GW252/13600,(2)停机状态,2,2025-11-25 10:46:52,2025-11-25 10:57:11,619,0.17
28,L05,#14,GW252/13600,(1)停机过程,1,2025-11-25 10:46:01,2025-11-25 10:46:52,51,0.01
29,L05,#14,GW252/13600,(5)发电状态,5,2025-11-25 08:57:58,2025-11-25 10:46:01,6483,1.8
30,L05,#14,GW252/13600,(4)启机状态,4,2025-11-25 08:57:24,2025-11-25 08:57:58,34,0.01
31,L05,#14,GW252/13600,(3)待机状态,3,2025-11-25 08:56:53,2025-11-25 08:57:24,31,0.01
32,L05,#14,GW252/13600,(2)停机状态,2,2025-11-25 08:43:23,2025-11-25 08:56:53,810,0.23
33,L05,#14,GW252/13600,(1)停机过程,1,2025-11-25 08:42:31,2025-11-25 08:43:23,52,0.01
34,L05,#14,GW252/13600,(5)发电状态,5,2025-11-24 23:57:47,2025-11-25 08:42:31,31484,8.75
35,L05,#14,GW252/13600,(4)启机状态,4,2025-11-24 23:56:33,2025-11-24 23:57:47,74,0.02
36,L05,#14,GW252/13600,(3)待机状态,3,2025-11-24 23:55:45,2025-11-24 23:56:33,48,0.01
37,L05,#14,GW252/13600,(2)停机状态,2,2025-11-24 23:49:53,2025-11-24 23:55:45,352,0.1
38,L05,#14,GW252/13600,(1)停机过程,1,2025-11-24 23:48:50,2025-11-24 23:49:53,63,0.02
39,L05,#14,GW252/13600,(5)发电状态,5,2025-11-24 23:14:22,2025-11-24 23:48:50,2068,0.57
40,L05,#14,GW252/13600,(4)启机状态,4,2025-11-24 23:12:47,2025-11-24 23:14:22,95,0.03
41,L05,#14,GW252/13600,(3)待机状态,3,2025-11-24 23:11:52,2025-11-24 23:12:47,55,0.02
42,L05,#14,GW252/13600,(2)停机状态,2,2025-11-24 22:35:13,2025-11-24 23:11:52,2199,0.61
43,L05,#14,GW252/13600,(1)停机过程,1,2025-11-24 22:34:17,2025-11-24 22:35:13,56,0.02
44,L05,#14,GW252/13600,(5)发电状态,5,2025-11-24 13:38:49,2025-11-24 22:34:17,32128,8.92
45,L05,#14,GW252/13600,(4)启机状态,4,2025-11-24 13:37:39,2025-11-24 13:38:49,70,0.02
46,L05,#14,GW252/13600,(3)待机状态,3,2025-11-24 13:36:53,2025-11-24 13:37:39,46,0.01
47,L05,#14,GW252/13600,(2)停机状态,2,2025-11-24 13:23:27,2025-11-24 13:36:53,806,0.22
48,L05,#14,GW252/13600,(1)停机过程,1,2025-11-24 13:22:28,2025-11-24 13:23:27,59,0.02
49,L05,#14,GW252/13600,(5)发电状态,5,2025-11-24 13:19:17,2025-11-24 13:22:28,191,0.05
50,L05,#14,GW252/13600,(4)启机状态,4,2025-11-24 13:18:05,2025-11-24 13:19:17,72,0.02
51,L05,#14,GW252/13600,(3)待机状态,3,2025-11-24 13:17:20,2025-11-24 13:18:05,45,0.01
52,L05,#14,GW252/13600,(2)停机状态,2,2025-11-24 12:42:05,2025-11-24 13:17:20,2115,0.59
53,L05,#14,GW252/13600,(1)停机过程,1,2025-11-24 12:41:04,2025-11-24 12:42:05,61,0.02
54,L05,#14,GW252/13600,(5)发电状态,5,2025-11-24 12:28:46,2025-11-24 12:41:04,738,0.21
55,L05,#14,GW252/13600,(4)启机状态,4,2025-11-24 12:27:38,2025-11-24 12:28:46,68,0.02
