设备状态统计_历史状态明细,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
  电场:[三峡阳江海路海风场];  设备类型:风机;  设备:[#28];  查询方式:详情;  开始时间:2025-01-01;  结束时间:2025-12-01,,,,,,,,,
序号,馈线名称,设备名称,型号名称,状态,状态码,开始时间,结束时间,持续时间(s),时长描述(h)
1,L03,#28,GW252/13600,(5)发电状态,5,2025-12-01 20:02:16,--,14263,3.96
2,L03,#28,GW252/13600,(4)启机状态,4,2025-12-01 20:00:47,2025-12-01 20:02:16,89,0.02
3,L03,#28,GW252/13600,(3)待机状态,3,2025-12-01 20:00:03,2025-12-01 20:00:47,44,0.01
4,L03,#28,GW252/13600,(2)停机状态,2,2025-12-01 20:00:02,2025-12-01 20:00:03,1,0
5,L03,#28,GW252/13600,(1)停机过程,1,2025-12-01 19:59:07,2025-12-01 20:00:02,55,0.02
6,L03,#28,GW252/13600,(5)发电状态,5,2025-11-24 19:59:00,2025-12-01 19:59:07,604807,168
7,L03,#28,GW252/13600,(4)启机状态,4,2025-11-24 19:56:10,2025-11-24 19:59:00,170,0.05
8,L03,#28,GW252/13600,(3)待机状态,3,2025-11-24 18:41:52,2025-11-24 19:56:10,4458,1.24
9,L03,#28,GW252/13600,(2)停机状态,2,2025-11-24 18:40:43,2025-11-24 18:41:52,69,0.02
10,L03,#28,GW252/13600,(1)停机过程,1,2025-11-24 18:39:49,2025-11-24 18:40:43,54,0.02
11,L03,#28,GW252/13600,(5)发电状态,5,2025-11-24 13:38:51,2025-11-24 18:39:49,18058,5.02
12,L03,#28,GW252/13600,(4)启机状态,4,2025-11-24 13:37:37,2025-11-24 13:38:51,74,0.02
13,L03,#28,GW252/13600,(3)待机状态,3,2025-11-24 13:36:53,2025-11-24 13:37:37,44,0.01
14,L03,#28,GW252/13600,(2)停机状态,2,2025-11-24 13:32:25,2025-11-24 13:36:53,268,0.07
15,L03,#28,GW252/13600,(1)停机过程,1,2025-11-24 13:31:30,2025-11-24 13:32:25,55,0.02
16,L03,#28,GW252/13600,(5)发电状态,5,2025-11-23 22:08:10,2025-11-24 13:31:30,55400,15.39
17,L03,#28,GW252/13600,(4)启机状态,4,2025-11-23 22:05:05,2025-11-23 22:08:10,185,0.05
18,L03,#28,GW252/13600,(3)待机状态,3,2025-11-23 18:45:43,2025-11-23 22:05:05,11962,3.32
19,L03,#28,GW252/13600,(2)停机状态,2,2025-11-23 18:08:39,2025-11-23 18:45:43,2224,0.62
20,L03,#28,GW252/13600,(1)停机过程,1,2025-11-23 18:07:44,2025-11-23 18:08:39,55,0.02
21,L03,#28,GW252/13600,(5)发电状态,5,2025-11-23 13:18:15,2025-11-23 18:07:44,17369,4.82
22,L03,#28,GW252/13600,(4)启机状态,4,2025-11-23 13:17:17,2025-11-23 13:18:15,58,0.02
23,L03,#28,GW252/13600,(3)待机状态,3,2025-11-23 13:16:39,2025-11-23 13:17:17,38,0.01
24,L03,#28,GW252/13600,(2)停机状态,2,2025-11-23 13:07:10,2025-11-23 13:16:39,569,0.16
25,L03,#28,GW252/13600,(1)停机过程,1,2025-11-23 13:06:17,2025-11-23 13:07:10,53,0.01
26,L03,#28,GW252/13600,(5)发电状态,5,2025-11-23 12:49:55,2025-11-23 13:06:17,982,0.27
27,L03,#28,GW252/13600,(4)启机状态,4,2025-11-23 12:49:04,2025-11-23 12:49:55,51,0.01
28,L03,#28,GW252/13600,(3)待机状态,3,2025-11-23 12:48:22,2025-11-23 12:49:04,42,0.01
29,L03,#28,GW252/13600,(2)停机状态,2,2025-11-23 12:48:21,2025-11-23 12:48:22,1,0
30,L03,#28,GW252/13600,(1)停机过程,1,2025-11-23 12:47:28,2025-11-23 12:48:21,53,0.01
31,L03,#28,GW252/13600,(5)发电状态,5,2025-11-20 19:32:07,2025-11-23 12:47:28,234921,65.26
32,L03,#28,GW252/13600,(4)启机状态,4,2025-11-20 19:31:21,2025-11-20 19:32:07,46,0.01
33,L03,#28,GW252/13600,(3)待机状态,3,2025-11-20 19:30:44,2025-11-20 19:31:21,37,0.01
34,L03,#28,GW252/13600,(2)停机状态,2,2025-11-20 19:30:42,2025-11-20 19:30:44,2,0
35,L03,#28,GW252/13600,(1)停机过程,1,2025-11-20 19:29:46,2025-11-20 19:30:42,56,0.02
36,L03,#28,GW252/13600,(5)发电状态,5,2025-11-13 19:29:39,2025-11-20 19:29:46,604807,168
37,L03,#28,GW252/13600,(4)启机状态,4,2025-11-13 19:26:42,2025-11-13 19:29:39,177,0.05
38,L03,#28,GW252/13600,(3)待机状态,3,2025-11-13 16:07:41,2025-11-13 19:26:42,11941,3.32
39,L03,#28,GW252/13600,(2)停机状态,2,2025-11-13 16:06:58,2025-11-13 16:07:41,43,0.01
40,L03,#28,GW252/13600,(1)停机过程,1,2025-11-13 16:06:01,2025-11-13 16:06:58,57,0.02
41,L03,#28,GW252/13600,(5)发电状态,5,2025-11-12 21:04:15,2025-11-13 16:06:01,68506,19.03
42,L03,#28,GW252/13600,(4)启机状态,4,2025-11-12 21:00:20,2025-11-12 21:04:15,235,0.07
43,L03,#28,GW252/13600,(3)待机状态,3,2025-11-12 20:13:31,2025-11-12 21:00:20,2809,0.78
44,L03,#28,GW252/13600,(2)停机状态,2,2025-11-12 20:13:00,2025-11-12 20:13:31,31,0.01
45,L03,#28,GW252/13600,(1)停机过程,1,2025-11-12 20:12:04,2025-11-12 20:13:00,56,0.02
46,L03,#28,GW252/13600,(5)发电状态,5,2025-11-12 19:52:26,2025-11-12 20:12:04,1178,0.33
47,L03,#28,GW252/13600,(4)启机状态,4,2025-11-12 19:48:50,2025-11-12 19:52:26,216,0.06
48,L03,#28,GW252/13600,(3)待机状态,3,2025-11-12 15:32:14,2025-11-12 19:48:50,15396,4.28
49,L03,#28,GW252/13600,(2)停机状态,2,2025-11-12 15:30:44,2025-11-12 15:32:14,90,0.03
50,L03,#28,GW252/13600,(1)停机过程,1,2025-11-12 15:29:49,2025-11-12 15:30:44,55,0.02
51,L03,#28,GW252/13600,(5)发电状态,5,2025-11-12 15:24:50,2025-11-12 15:29:49,299,0.08
52,L03,#28,GW252/13600,(4)启机状态,4,2025-11-12 15:21:23,2025-11-12 15:24:50,207,0.06
53,L03,#28,GW252/13600,(3)待机状态,3,2025-11-12 15:14:48,2025-11-12 15:21:23,395,0.11
54,L03,#28,GW252/13600,(2)停机状态,2,2025-11-12 15:14:47,2025-11-12 15:14:48,1,0
55,L03,#28,GW252/13600,(1)停机过程,1,2025-11-12 15:13:51,2025-11-12 15:14:47,56,0.02
56,L03,#28,GW252/13600,(5)发电状态,5,2025-11-12 14:45:23,2025-11-12 15:13:51,1708,0.47
57,L03,#28,GW252/13600,(4)启机状态,4,2025-11-12 14:42:19,2025-11-12 14:45:23,184,0.05
58,L03,#28,GW252/13600,(3)待机状态,3,2025-11-12 13:30:13,2025-11-12 14:42:19,4326,1.2
59,L03,#28,GW252/13600,(2)停机状态,2,2025-11-12 12:53:32,2025-11-12 13:30:13,2201,0.61
60,L03,#28,GW252/13600,(1)停机过程,1,2025-11-12 12:52:37,2025-11-12 12:53:32,55,0.02
61,L03,#28,GW252/13600,(5)发电状态,5,2025-11-11 19:44:32,2025-11-12 12:52:37,61685,17.13
62,L03,#28,GW252/13600,(4)启机状态,4,2025-11-11 19:43:15,2025-11-11 19:44:32,77,0.02
63,L03,#28,GW252/13600,(3)待机状态,3,2025-11-11 19:42:32,2025-11-11 19:43:15,43,0.01
64,L03,#28,GW252/13600,(2)停机状态,2,2025-11-11 19:00:46,2025-11-11 19:42:32,2506,0.7
65,L03,#28,GW252/13600,(1)停机过程,1,2025-11-11 18:59:51,2025-11-11 19:00:46,55,0.02
66,L03,#28,GW252/13600,(5)发电状态,5,2025-11-11 03:25:07,2025-11-11 18:59:51,56084,15.58
67,L03,#28,GW252/13600,(4)启机状态,4,2025-11-11 03:24:19,2025-11-11 03:25:07,48,0.01
