设备状态统计_历史状态明细,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
  电场:[三峡阳江海路海风场];  设备类型:风机;  设备:[#58];  查询方式:详情;  开始时间:2025-01-01;  结束时间:2025-12-01,,,,,,,,,
序号,馈线名称,设备名称,型号名称,状态,状态码,开始时间,结束时间,持续时间(s),时长描述(h)
1,L12,#58,GW252/13600,(5)发电状态,5,2025-12-01 22:43:10,2025-12-01 23:59:59,4609,1.28
2,L12,#58,GW252/13600,(4)启机状态,4,2025-12-01 22:41:55,2025-12-01 22:43:10,75,0.02
3,L12,#58,GW252/13600,(3)待机状态,3,2025-12-01 22:41:09,2025-12-01 22:41:55,46,0.01
4,L12,#58,GW252/13600,(2)停机状态,2,2025-12-01 22:04:26,2025-12-01 22:41:09,2203,0.61
5,L12,#58,GW252/13600,(1)停机过程,1,2025-12-01 22:03:33,2025-12-01 22:04:26,53,0.01
6,L12,#58,GW252/13600,(5)发电状态,5,2025-11-28 13:03:41,2025-12-01 22:03:33,291592,81
7,L12,#58,GW252/13600,(4)启机状态,4,2025-11-28 13:03:01,2025-11-28 13:03:41,40,0.01
8,L12,#58,GW252/13600,(3)待机状态,3,2025-11-28 13:02:24,2025-11-28 13:03:01,37,0.01
9,L12,#58,GW252/13600,(2)停机状态,2,2025-11-28 12:24:19,2025-11-28 13:02:24,2285,0.63
10,L12,#58,GW252/13600,(1)停机过程,1,2025-11-28 12:23:24,2025-11-28 12:24:19,55,0.02
11,L12,#58,GW252/13600,(5)发电状态,5,2025-11-27 08:32:24,2025-11-28 12:23:24,100260,27.85
12,L12,#58,GW252/13600,(4)启机状态,4,2025-11-27 08:31:52,2025-11-27 08:32:24,32,0.01
13,L12,#58,GW252/13600,(3)待机状态,3,2025-11-27 08:31:21,2025-11-27 08:31:52,31,0.01
14,L12,#58,GW252/13600,(2)停机状态,2,2025-11-27 08:13:03,2025-11-27 08:31:21,1098,0.31
15,L12,#58,GW252/13600,(1)停机过程,1,2025-11-27 08:11:52,2025-11-27 08:13:03,71,0.02
16,L12,#58,GW252/13600,(5)发电状态,5,2025-11-26 14:13:42,2025-11-27 08:11:52,64690,17.97
17,L12,#58,GW252/13600,(4)启机状态,4,2025-11-26 14:12:55,2025-11-26 14:13:42,47,0.01
18,L12,#58,GW252/13600,(3)待机状态,3,2025-11-26 14:12:17,2025-11-26 14:12:55,38,0.01
19,L12,#58,GW252/13600,(2)停机状态,2,2025-11-26 14:05:33,2025-11-26 14:12:17,404,0.11
20,L12,#58,GW252/13600,(1)停机过程,1,2025-11-26 14:04:29,2025-11-26 14:05:33,64,0.02
21,L12,#58,GW252/13600,(5)发电状态,5,2025-11-26 13:35:09,2025-11-26 14:04:29,1760,0.49
22,L12,#58,GW252/13600,(4)启机状态,4,2025-11-26 13:34:24,2025-11-26 13:35:09,45,0.01
23,L12,#58,GW252/13600,(3)待机状态,3,2025-11-26 13:33:45,2025-11-26 13:34:24,39,0.01
24,L12,#58,GW252/13600,(2)停机状态,2,2025-11-26 13:25:40,2025-11-26 13:33:45,485,0.13
25,L12,#58,GW252/13600,(1)停机过程,1,2025-11-26 13:24:37,2025-11-26 13:25:40,63,0.02
26,L12,#58,GW252/13600,(5)发电状态,5,2025-11-26 12:50:30,2025-11-26 13:24:37,2047,0.57
27,L12,#58,GW252/13600,(4)启机状态,4,2025-11-26 12:49:44,2025-11-26 12:50:30,46,0.01
28,L12,#58,GW252/13600,(3)待机状态,3,2025-11-26 12:49:05,2025-11-26 12:49:44,39,0.01
29,L12,#58,GW252/13600,(2)停机状态,2,2025-11-26 11:39:58,2025-11-26 12:49:05,4147,1.15
30,L12,#58,GW252/13600,(1)停机过程,1,2025-11-26 11:39:05,2025-11-26 11:39:58,53,0.01
31,L12,#58,GW252/13600,(5)发电状态,5,2025-11-25 17:14:34,2025-11-26 11:39:05,66271,18.41
32,L12,#58,GW252/13600,(4)启机状态,4,2025-11-25 17:13:48,2025-11-25 17:14:34,46,0.01
33,L12,#58,GW252/13600,(3)待机状态,3,2025-11-25 17:13:11,2025-11-25 17:13:48,37,0.01
34,L12,#58,GW252/13600,(2)停机状态,2,2025-11-25 17:04:02,2025-11-25 17:13:11,549,0.15
35,L12,#58,GW252/13600,(1)停机过程,1,2025-11-25 17:03:00,2025-11-25 17:04:02,62,0.02
36,L12,#58,GW252/13600,(5)发电状态,5,2025-11-25 12:59:42,2025-11-25 17:03:00,14598,4.06
37,L12,#58,GW252/13600,(4)启机状态,4,2025-11-25 12:59:05,2025-11-25 12:59:42,37,0.01
