设备状态统计_历史状态明细,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
  电场:[三峡阳江海路海风场];  设备类型:风机;  设备:[#7];  查询方式:详情;  开始时间:2025-01-01;  结束时间:2025-12-01,,,,,,,,,
序号,馈线名称,设备名称,型号名称,状态,状态码,开始时间,结束时间,持续时间(s),时长描述(h)
1,L02,#7,GW252/13600,(9)维护状态,9,2025-12-01 14:12:12,2025-12-01 23:59:59,35267,9.8
2,L02,#7,GW252/13600,(2)停机状态,2,2025-12-01 13:59:02,2025-12-01 14:12:12,790,0.22
3,L02,#7,GW252/13600,(1)停机过程,1,2025-12-01 13:58:10,2025-12-01 13:59:02,52,0.01
4,L02,#7,GW252/13600,(5)发电状态,5,2025-11-28 12:57:51,2025-12-01 13:58:10,262819,73.01
5,L02,#7,GW252/13600,(4)启机状态,4,2025-11-28 12:57:16,2025-11-28 12:57:51,35,0.01
6,L02,#7,GW252/13600,(3)待机状态,3,2025-11-28 12:56:42,2025-11-28 12:57:16,34,0.01
7,L02,#7,GW252/13600,(2)停机状态,2,2025-11-28 12:26:17,2025-11-28 12:56:42,1825,0.51
8,L02,#7,GW252/13600,(1)停机过程,1,2025-11-28 12:25:28,2025-11-28 12:26:17,49,0.01
9,L02,#7,GW252/13600,(5)发电状态,5,2025-11-24 22:40:17,2025-11-28 12:25:28,308711,85.75
10,L02,#7,GW252/13600,(4)启机状态,4,2025-11-24 22:36:50,2025-11-24 22:40:17,207,0.06
11,L02,#7,GW252/13600,(3)待机状态,3,2025-11-24 21:53:03,2025-11-24 22:36:50,2627,0.73
12,L02,#7,GW252/13600,(2)停机状态,2,2025-11-24 21:16:22,2025-11-24 21:53:03,2201,0.61
13,L02,#7,GW252/13600,(1)停机过程,1,2025-11-24 21:15:27,2025-11-24 21:16:22,55,0.02
14,L02,#7,GW252/13600,(5)发电状态,5,2025-11-23 22:06:21,2025-11-24 21:15:27,83346,23.15
15,L02,#7,GW252/13600,(4)启机状态,4,2025-11-23 22:03:06,2025-11-23 22:06:21,195,0.05
16,L02,#7,GW252/13600,(3)待机状态,3,2025-11-23 18:17:38,2025-11-23 22:03:06,13528,3.76
17,L02,#7,GW252/13600,(2)停机状态,2,2025-11-23 17:41:01,2025-11-23 18:17:38,2197,0.61
18,L02,#7,GW252/13600,(1)停机过程,1,2025-11-23 17:40:05,2025-11-23 17:41:01,56,0.02
19,L02,#7,GW252/13600,(5)发电状态,5,2025-11-23 12:53:41,2025-11-23 17:40:05,17184,4.77
20,L02,#7,GW252/13600,(4)启机状态,4,2025-11-23 12:52:49,2025-11-23 12:53:41,52,0.01
21,L02,#7,GW252/13600,(3)待机状态,3,2025-11-23 12:52:09,2025-11-23 12:52:49,40,0.01
22,L02,#7,GW252/13600,(2)停机状态,2,2025-11-23 12:48:21,2025-11-23 12:52:09,228,0.06
23,L02,#7,GW252/13600,(1)停机过程,1,2025-11-23 12:47:27,2025-11-23 12:48:21,54,0.02
