设备状态统计_历史状态明细,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
  电场:[三峡阳江海路海风场];  设备类型:风机;  设备:[#25];  查询方式:详情;  开始时间:2025-01-01;  结束时间:2025-12-01,,,,,,,,,
序号,馈线名称,设备名称,型号名称,状态,状态码,开始时间,结束时间,持续时间(s),时长描述(h)
1,L06,#25,GW252/13600,(2)停机状态,2,2025-10-20 13:37:22,2025-12-01 23:59:59,3666157,1018.38
2,L06,#25,GW252/13600,(1)停机过程,1,2025-10-20 13:37:11,2025-10-20 13:37:22,11,0
3,L06,#25,GW252/13600,(9)维护状态,9,2025-10-20 13:36:33,2025-10-20 13:37:11,38,0.01
4,L06,#25,GW252/13600,(2)停机状态,2,2025-10-20 13:33:30,2025-10-20 13:36:33,183,0.05
5,L06,#25,GW252/13600,(1)停机过程,1,2025-10-20 13:33:26,2025-10-20 13:33:30,4,0
6,L06,#25,GW252/13600,(9)维护状态,9,2025-10-20 13:29:55,2025-10-20 13:33:26,211,0.06
7,L06,#25,GW252/13600,(2)停机状态,2,2025-10-13 12:24:54,2025-10-20 13:29:55,608701,169.08
8,L06,#25,GW252/13600,(1)停机过程,1,2025-10-13 12:24:44,2025-10-13 12:24:54,10,0
9,L06,#25,GW252/13600,(9)维护状态,9,2025-10-08 21:12:11,2025-10-13 12:24:44,400353,111.21
10,L06,#25,GW252/13600,(2)停机状态,2,2025-10-08 21:11:08,2025-10-08 21:12:11,63,0.02
11,L06,#25,GW252/13600,(1)停机过程,1,2025-10-08 21:10:57,2025-10-08 21:11:08,11,0
12,L06,#25,GW252/13600,(9)维护状态,9,2025-10-08 20:51:25,2025-10-08 21:10:57,1172,0.33
13,L06,#25,GW252/13600,(1)停机过程,1,2025-10-08 20:48:24,2025-10-08 20:51:25,181,0.05
14,L06,#25,GW252/13600,(9)维护状态,9,2025-10-08 15:33:13,2025-10-08 20:48:24,18911,5.25
15,L06,#25,GW252/13600,(2)停机状态,2,2025-10-07 10:47:51,2025-10-08 15:33:13,103522,28.76
16,L06,#25,GW252/13600,(1)停机过程,1,2025-10-07 10:47:41,2025-10-07 10:47:51,10,0
17,L06,#25,GW252/13600,(9)维护状态,9,2025-10-07 10:32:43,2025-10-07 10:47:41,898,0.25
