设备状态统计_历史状态明细,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
  电场:[三峡阳江海路海风场];  设备类型:风机;  设备:[#40];  查询方式:详情;  开始时间:2025-01-01;  结束时间:2025-12-01,,,,,,,,,
序号,馈线名称,设备名称,型号名称,状态,状态码,开始时间,结束时间,持续时间(s),时长描述(h)
1,L17,#40,GW252/13600,(5)发电状态,5,2025-11-28 13:03:21,2025-12-01 23:59:59,298598,82.94
2,L17,#40,GW252/13600,(4)启机状态,4,2025-11-28 13:02:43,2025-11-28 13:03:21,38,0.01
3,L17,#40,GW252/13600,(3)待机状态,3,2025-11-28 13:02:06,2025-11-28 13:02:43,37,0.01
4,L17,#40,GW252/13600,(2)停机状态,2,2025-11-28 12:25:12,2025-11-28 13:02:06,2214,0.62
5,L17,#40,GW252/13600,(1)停机过程,1,2025-11-28 12:24:19,2025-11-28 12:25:12,53,0.01
6,L17,#40,GW252/13600,(5)发电状态,5,2025-11-26 14:16:32,2025-11-28 12:24:19,166067,46.13
7,L17,#40,GW252/13600,(4)启机状态,4,2025-11-26 14:15:46,2025-11-26 14:16:32,46,0.01
8,L17,#40,GW252/13600,(3)待机状态,3,2025-11-26 14:15:07,2025-11-26 14:15:46,39,0.01
9,L17,#40,GW252/13600,(2)停机状态,2,2025-11-26 14:05:24,2025-11-26 14:15:07,583,0.16
10,L17,#40,GW252/13600,(1)停机过程,1,2025-11-26 14:04:29,2025-11-26 14:05:24,55,0.02
11,L17,#40,GW252/13600,(5)发电状态,5,2025-11-26 13:40:45,2025-11-26 14:04:29,1424,0.4
12,L17,#40,GW252/13600,(4)启机状态,4,2025-11-26 13:39:57,2025-11-26 13:40:45,48,0.01
13,L17,#40,GW252/13600,(3)待机状态,3,2025-11-26 13:39:19,2025-11-26 13:39:57,38,0.01
14,L17,#40,GW252/13600,(2)停机状态,2,2025-11-26 11:38:15,2025-11-26 13:39:19,7264,2.02
15,L17,#40,GW252/13600,(1)停机过程,1,2025-11-26 11:37:18,2025-11-26 11:38:15,57,0.02
16,L17,#40,GW252/13600,(5)发电状态,5,2025-11-25 13:32:48,2025-11-26 11:37:18,79470,22.08
17,L17,#40,GW252/13600,(4)启机状态,4,2025-11-25 13:32:11,2025-11-25 13:32:48,37,0.01
18,L17,#40,GW252/13600,(3)待机状态,3,2025-11-25 13:31:37,2025-11-25 13:32:11,34,0.01
19,L17,#40,GW252/13600,(2)停机状态,2,2025-11-25 13:10:05,2025-11-25 13:31:37,1292,0.36
20,L17,#40,GW252/13600,(1)停机过程,1,2025-11-25 13:09:13,2025-11-25 13:10:05,52,0.01
21,L17,#40,GW252/13600,(5)发电状态,5,2025-11-25 10:58:36,2025-11-25 13:09:13,7837,2.18
22,L17,#40,GW252/13600,(4)启机状态,4,2025-11-25 10:58:00,2025-11-25 10:58:36,36,0.01
23,L17,#40,GW252/13600,(3)待机状态,3,2025-11-25 10:57:28,2025-11-25 10:58:00,32,0.01
24,L17,#40,GW252/13600,(2)停机状态,2,2025-11-25 10:46:53,2025-11-25 10:57:28,635,0.18
25,L17,#40,GW252/13600,(1)停机过程,1,2025-11-25 10:46:01,2025-11-25 10:46:53,52,0.01
26,L17,#40,GW252/13600,(5)发电状态,5,2025-11-25 10:13:00,2025-11-25 10:46:01,1981,0.55
27,L17,#40,GW252/13600,(4)启机状态,4,2025-11-25 10:12:28,2025-11-25 10:13:00,32,0.01
28,L17,#40,GW252/13600,(3)待机状态,3,2025-11-25 10:11:55,2025-11-25 10:12:28,33,0.01
29,L17,#40,GW252/13600,(2)停机状态,2,2025-11-25 09:57:04,2025-11-25 10:11:55,891,0.25
30,L17,#40,GW252/13600,(1)停机过程,1,2025-11-25 09:56:13,2025-11-25 09:57:04,51,0.01
31,L17,#40,GW252/13600,(5)发电状态,5,2025-11-25 06:59:32,2025-11-25 09:56:13,10601,2.94
32,L17,#40,GW252/13600,(4)启机状态,4,2025-11-25 06:58:58,2025-11-25 06:59:32,34,0.01
33,L17,#40,GW252/13600,(3)待机状态,3,2025-11-25 06:58:26,2025-11-25 06:58:58,32,0.01
34,L17,#40,GW252/13600,(2)停机状态,2,2025-11-25 06:04:39,2025-11-25 06:58:26,3227,0.9
35,L17,#40,GW252/13600,(1)停机过程,1,2025-11-25 06:03:48,2025-11-25 06:04:39,51,0.01
36,L17,#40,GW252/13600,(5)发电状态,5,2025-11-24 22:52:42,2025-11-25 06:03:48,25866,7.19
37,L17,#40,GW252/13600,(4)启机状态,4,2025-11-24 22:49:40,2025-11-24 22:52:42,182,0.05
38,L17,#40,GW252/13600,(3)待机状态,3,2025-11-24 22:01:29,2025-11-24 22:49:40,2891,0.8
39,L17,#40,GW252/13600,(2)停机状态,2,2025-11-24 21:24:45,2025-11-24 22:01:29,2204,0.61
40,L17,#40,GW252/13600,(1)停机过程,1,2025-11-24 21:23:49,2025-11-24 21:24:45,56,0.02
41,L17,#40,GW252/13600,(5)发电状态,5,2025-11-24 13:38:32,2025-11-24 21:23:49,27917,7.75
42,L17,#40,GW252/13600,(4)启机状态,4,2025-11-24 13:37:34,2025-11-24 13:38:32,58,0.02
43,L17,#40,GW252/13600,(3)待机状态,3,2025-11-24 13:36:53,2025-11-24 13:37:34,41,0.01
44,L17,#40,GW252/13600,(2)停机状态,2,2025-11-24 13:32:28,2025-11-24 13:36:53,265,0.07
45,L17,#40,GW252/13600,(1)停机过程,1,2025-11-24 13:31:30,2025-11-24 13:32:28,58,0.02
46,L17,#40,GW252/13600,(5)发电状态,5,2025-11-24 13:19:01,2025-11-24 13:31:30,749,0.21
47,L17,#40,GW252/13600,(4)启机状态,4,2025-11-24 13:17:55,2025-11-24 13:19:01,66,0.02
48,L17,#40,GW252/13600,(3)待机状态,3,2025-11-24 13:17:11,2025-11-24 13:17:55,44,0.01
49,L17,#40,GW252/13600,(2)停机状态,2,2025-11-24 12:42:05,2025-11-24 13:17:11,2106,0.59
50,L17,#40,GW252/13600,(1)停机过程,1,2025-11-24 12:41:04,2025-11-24 12:42:05,61,0.02
51,L17,#40,GW252/13600,(5)发电状态,5,2025-11-24 12:28:34,2025-11-24 12:41:04,750,0.21
52,L17,#40,GW252/13600,(4)启机状态,4,2025-11-24 12:27:34,2025-11-24 12:28:34,60,0.02
53,L17,#40,GW252/13600,(3)待机状态,3,2025-11-24 12:26:52,2025-11-24 12:27:34,42,0.01
54,L17,#40,GW252/13600,(2)停机状态,2,2025-11-24 12:22:19,2025-11-24 12:26:52,273,0.08
55,L17,#40,GW252/13600,(1)停机过程,1,2025-11-24 12:21:17,2025-11-24 12:22:19,62,0.02
56,L17,#40,GW252/13600,(5)发电状态,5,2025-11-23 22:09:12,2025-11-24 12:21:17,51125,14.2
57,L17,#40,GW252/13600,(4)启机状态,4,2025-11-23 22:06:55,2025-11-23 22:09:12,137,0.04
58,L17,#40,GW252/13600,(3)待机状态,3,2025-11-23 18:15:11,2025-11-23 22:06:55,13904,3.86
59,L17,#40,GW252/13600,(2)停机状态,2,2025-11-23 17:38:30,2025-11-23 18:15:11,2201,0.61
60,L17,#40,GW252/13600,(1)停机过程,1,2025-11-23 17:37:35,2025-11-23 17:38:30,55,0.02
61,L17,#40,GW252/13600,(5)发电状态,5,2025-11-23 13:18:20,2025-11-23 17:37:35,15555,4.32
62,L17,#40,GW252/13600,(4)启机状态,4,2025-11-23 13:17:22,2025-11-23 13:18:20,58,0.02
63,L17,#40,GW252/13600,(3)待机状态,3,2025-11-23 13:16:36,2025-11-23 13:17:22,46,0.01
64,L17,#40,GW252/13600,(2)停机状态,2,2025-11-23 13:07:25,2025-11-23 13:16:36,551,0.15
65,L17,#40,GW252/13600,(1)停机过程,1,2025-11-23 13:06:17,2025-11-23 13:07:25,68,0.02
66,L17,#40,GW252/13600,(5)发电状态,5,2025-11-23 12:53:34,2025-11-23 13:06:17,763,0.21
67,L17,#40,GW252/13600,(4)启机状态,4,2025-11-23 12:52:40,2025-11-23 12:53:34,54,0.02
68,L17,#40,GW252/13600,(3)待机状态,3,2025-11-23 12:52:01,2025-11-23 12:52:40,39,0.01
69,L17,#40,GW252/13600,(2)停机状态,2,2025-11-23 12:48:33,2025-11-23 12:52:01,208,0.06
70,L17,#40,GW252/13600,(1)停机过程,1,2025-11-23 12:47:27,2025-11-23 12:48:33,66,0.02
71,L17,#40,GW252/13600,(5)发电状态,5,2025-11-22 13:23:08,2025-11-23 12:47:27,84259,23.41
72,L17,#40,GW252/13600,(4)启机状态,4,2025-11-22 13:22:26,2025-11-22 13:23:08,42,0.01
73,L17,#40,GW252/13600,(3)待机状态,3,2025-11-22 13:21:50,2025-11-22 13:22:26,36,0.01
74,L17,#40,GW252/13600,(2)停机状态,2,2025-11-22 11:59:23,2025-11-22 13:21:50,4947,1.37
75,L17,#40,GW252/13600,(1)停机过程,1,2025-11-22 11:58:25,2025-11-22 11:59:23,58,0.02
76,L17,#40,GW252/13600,(5)发电状态,5,2025-11-22 10:27:52,2025-11-22 11:58:25,5433,1.51
77,L17,#40,GW252/13600,(4)启机状态,4,2025-11-22 10:27:11,2025-11-22 10:27:52,41,0.01
78,L17,#40,GW252/13600,(3)待机状态,3,2025-11-22 10:26:37,2025-11-22 10:27:11,34,0.01
79,L17,#40,GW252/13600,(2)停机状态,2,2025-11-22 10:02:05,2025-11-22 10:26:37,1472,0.41
80,L17,#40,GW252/13600,(1)停机过程,1,2025-11-22 10:01:11,2025-11-22 10:02:05,54,0.02
81,L17,#40,GW252/13600,(5)发电状态,5,2025-11-21 13:52:32,2025-11-22 10:01:11,72519,20.14
82,L17,#40,GW252/13600,(4)启机状态,4,2025-11-21 13:51:48,2025-11-21 13:52:32,44,0.01
83,L17,#40,GW252/13600,(3)待机状态,3,2025-11-21 13:51:12,2025-11-21 13:51:48,36,0.01
84,L17,#40,GW252/13600,(2)停机状态,2,2025-11-21 13:45:22,2025-11-21 13:51:12,350,0.1
85,L17,#40,GW252/13600,(1)停机过程,1,2025-11-21 13:44:25,2025-11-21 13:45:22,57,0.02
86,L17,#40,GW252/13600,(5)发电状态,5,2025-11-21 13:38:12,2025-11-21 13:44:25,373,0.1
87,L17,#40,GW252/13600,(4)启机状态,4,2025-11-21 13:37:30,2025-11-21 13:38:12,42,0.01
88,L17,#40,GW252/13600,(3)待机状态,3,2025-11-21 13:36:52,2025-11-21 13:37:30,38,0.01
89,L17,#40,GW252/13600,(2)停机状态,2,2025-11-21 13:27:20,2025-11-21 13:36:52,572,0.16
90,L17,#40,GW252/13600,(1)停机过程,1,2025-11-21 13:26:20,2025-11-21 13:27:20,60,0.02
91,L17,#40,GW252/13600,(5)发电状态,5,2025-11-21 13:14:22,2025-11-21 13:26:20,718,0.2
92,L17,#40,GW252/13600,(4)启机状态,4,2025-11-21 13:13:41,2025-11-21 13:14:22,41,0.01
93,L17,#40,GW252/13600,(3)待机状态,3,2025-11-21 13:13:04,2025-11-21 13:13:41,37,0.01
94,L17,#40,GW252/13600,(2)停机状态,2,2025-11-21 12:43:08,2025-11-21 13:13:04,1796,0.5
95,L17,#40,GW252/13600,(1)停机过程,1,2025-11-21 12:42:08,2025-11-21 12:43:08,60,0.02
96,L17,#40,GW252/13600,(5)发电状态,5,2025-11-18 00:33:53,2025-11-21 12:42:08,302895,84.14
97,L17,#40,GW252/13600,(4)启机状态,4,2025-11-18 00:32:45,2025-11-18 00:33:53,68,0.02
98,L17,#40,GW252/13600,(3)待机状态,3,2025-11-18 00:31:58,2025-11-18 00:32:45,47,0.01
99,L17,#40,GW252/13600,(2)停机状态,2,2025-11-17 22:46:21,2025-11-18 00:31:58,6337,1.76
100,L17,#40,GW252/13600,(1)停机过程,1,2025-11-17 22:45:17,2025-11-17 22:46:21,64,0.02
101,L17,#40,GW252/13600,(5)发电状态,5,2025-11-17 18:54:52,2025-11-17 22:45:17,13825,3.84
102,L17,#40,GW252/13600,(4)启机状态,4,2025-11-17 18:53:13,2025-11-17 18:54:52,99,0.03
103,L17,#40,GW252/13600,(3)待机状态,3,2025-11-17 18:52:09,2025-11-17 18:53:13,64,0.02
104,L17,#40,GW252/13600,(2)停机状态,2,2025-11-17 18:51:35,2025-11-17 18:52:09,34,0.01
105,L17,#40,GW252/13600,(1)停机过程,1,2025-11-17 18:50:33,2025-11-17 18:51:35,62,0.02
106,L17,#40,GW252/13600,(5)发电状态,5,2025-11-16 13:59:41,2025-11-17 18:50:33,103852,28.85
107,L17,#40,GW252/13600,(4)启机状态,4,2025-11-16 13:59:01,2025-11-16 13:59:41,40,0.01
108,L17,#40,GW252/13600,(3)待机状态,3,2025-11-16 13:58:28,2025-11-16 13:59:01,33,0.01
109,L17,#40,GW252/13600,(2)停机状态,2,2025-11-16 13:45:53,2025-11-16 13:58:28,755,0.21
110,L17,#40,GW252/13600,(1)停机过程,1,2025-11-16 13:45:00,2025-11-16 13:45:53,53,0.01
111,L17,#40,GW252/13600,(5)发电状态,5,2025-11-16 13:04:37,2025-11-16 13:45:00,2423,0.67
112,L17,#40,GW252/13600,(4)启机状态,4,2025-11-16 13:03:57,2025-11-16 13:04:37,40,0.01
113,L17,#40,GW252/13600,(3)待机状态,3,2025-11-16 13:03:19,2025-11-16 13:03:57,38,0.01
114,L17,#40,GW252/13600,(2)停机状态,2,2025-11-16 12:43:16,2025-11-16 13:03:19,1203,0.33
115,L17,#40,GW252/13600,(1)停机过程,1,2025-11-16 12:42:21,2025-11-16 12:43:16,55,0.02
116,L17,#40,GW252/13600,(5)发电状态,5,2025-11-15 13:22:00,2025-11-16 12:42:21,84021,23.34
117,L17,#40,GW252/13600,(4)启机状态,4,2025-11-15 13:21:19,2025-11-15 13:22:00,41,0.01
118,L17,#40,GW252/13600,(3)待机状态,3,2025-11-15 13:20:43,2025-11-15 13:21:19,36,0.01
119,L17,#40,GW252/13600,(2)停机状态,2,2025-11-15 11:52:44,2025-11-15 13:20:43,5279,1.47
120,L17,#40,GW252/13600,(1)停机过程,1,2025-11-15 11:51:48,2025-11-15 11:52:44,56,0.02
121,L17,#40,GW252/13600,(5)发电状态,5,2025-11-13 19:29:24,2025-11-15 11:51:48,145344,40.37
122,L17,#40,GW252/13600,(4)启机状态,4,2025-11-13 19:26:58,2025-11-13 19:29:24,146,0.04
123,L17,#40,GW252/13600,(3)待机状态,3,2025-11-13 15:47:17,2025-11-13 19:26:58,13181,3.66
